,statenum,year,disease,m_rate,p_urb,lnm_rate
151,Arizona,1929.0,5,9.40221e-05,34.480003,-9.27198
152,Arizona,1929.0,6,0.0005641326,34.480003,-7.4802213
153,Arizona,1929.0,7,0.0011823279,34.480003,-6.74027
154,Arizona,1930.0,1,650.0,34.4,6.4769726
155,Arizona,1930.0,2,0.0016346284,34.4,-6.41634
156,Arizona,1930.0,3,1.6070784e-05,34.4,-11.038507
157,Arizona,1930.0,4,0.003308286,34.4,-5.711325
158,Arizona,1930.0,5,8.035392e-05,34.4,-9.4290695
159,Arizona,1930.0,6,0.00057166076,34.4,-7.4669647
160,Arizona,1930.0,7,0.0014004541,34.4,-6.5709586
161,Arizona,1931.0,1,820.0,34.440002,6.7093043
162,Arizona,1931.0,2,0.0013938484,34.440002,-6.5756865
163,Arizona,1931.0,3,6.788223e-06,34.440002,-11.900321
164,Arizona,1931.0,4,0.0029189358,34.440002,-5.836536
165,Arizona,1931.0,5,9.050964e-05,34.440002,-9.310054
166,Arizona,1931.0,6,0.00061094004,34.440002,-7.4005117
167,Arizona,1931.0,7,0.0012422447,34.440002,-6.6908355
168,Arizona,1932.0,1,810.00006,34.48,6.6970344
169,Arizona,1932.0,2,0.0015814921,34.48,-6.4493866
170,Arizona,1932.0,3,2.2305954e-05,34.48,-10.710657
171,Arizona,1932.0,4,0.002641025,34.48,-5.9365883
172,Arizona,1932.0,5,7.360965e-05,34.48,-9.516734
173,Arizona,1932.0,6,0.00060449133,34.48,-7.4111233
174,Arizona,1932.0,7,0.0012558252,34.48,-6.6799626
175,Arizona,1933.0,1,650.0,34.52,6.4769726
176,Arizona,1933.0,2,0.0012228389,34.52,-6.70658
177,Arizona,1933.0,3,2.8591556e-05,34.52,-10.4623995
178,Arizona,1933.0,4,0.002441279,34.52,-6.015233
179,Arizona,1933.0,5,7.2578565e-05,34.52,-9.530841
180,Arizona,1933.0,6,0.00056083436,34.52,-7.486085
181,Arizona,1933.0,7,0.0014163817,34.52,-6.55965
182,Arizona,1934.0,1,690.0,34.56,6.5366917
183,Arizona,1934.0,2,0.0014185056,34.56,-6.5581512
184,Arizona,1934.0,3,2.6027625e-05,34.56,-10.556352
185,Arizona,1934.0,4,0.002288262,34.56,-6.0799627
186,Arizona,1934.0,5,6.723803e-05,34.56,-9.607271
187,Arizona,1934.0,6,0.00067454926,34.56,-7.301466
188,Arizona,1934.0,7,0.0015030953,34.56,-6.500229
189,Arizona,1935.0,1,580.0,34.6,6.363028
190,Arizona,1935.0,2,0.0017200897,34.6,-6.365379
191,Arizona,1935.0,3,3.2091226e-05,34.6,-10.346928
192,Arizona,1935.0,4,0.0022848952,34.6,-6.081435
193,Arizona,1935.0,5,8.55766e-05,34.6,-9.366098
194,Arizona,1935.0,6,0.00063754566,34.6,-7.357885
195,Arizona,1935.0,7,0.0017072532,34.6,-6.3728695
196,Arizona,1936.0,1,910.00006,34.64,6.8134446
197,Arizona,1936.0,2,0.0018637091,34.64,-6.285187
198,Arizona,1936.0,3,2.1106558e-05,34.64,-10.765926
199,Arizona,1936.0,4,0.0023533811,34.64,-6.0519023
200,Arizona,1936.0,5,9.286885e-05,34.64,-9.284322
201,Arizona,1936.0,6,0.0006521926,34.64,-7.3351707
202,Arizona,1936.0,7,0.0018447132,34.64,-6.2954316
203,Arizona,1937.0,1,540.0,34.68,6.291569
204,Arizona,1937.0,2,0.0020222624,34.68,-6.2035384
205,Arizona,1937.0,3,1.0413298e-05,34.68,-11.472427
206,Arizona,1937.0,4,0.002238859,34.68,-6.101789
207,Arizona,1937.0,5,8.538904e-05,34.68,-9.368293
208,Arizona,1937.0,6,0.0007851626,34.68,-7.1496196
209,Arizona,1937.0,7,0.001945204,34.68,-6.2423882
210,Arizona,1938.0,1,480.00003,34.72,6.173786
211,Arizona,1938.0,2,0.0015805997,34.72,-6.449951
212,Arizona,1938.0,3,2.0553962e-06,34.72,-13.095042
213,Arizona,1938.0,4,0.0019690695,34.72,-6.230194
214,Arizona,1938.0,5,9.043743e-05,34.72,-9.310852
215,Arizona,1938.0,6,0.00071938866,34.72,-7.2371087
216,Arizona,1938.0,7,0.0017594191,34.72,-6.3427715
217,Arizona,1939.0,1,450.0,34.76,6.1092477
218,Arizona,1939.0,2,0.0010063034,34.76,-6.9014716
219,Arizona,1939.0,3,1.42018625e-05,34.76,-11.162137
220,Arizona,1939.0,4,0.001809723,34.76,-6.3145814
221,Arizona,1939.0,5,0.00012578792,34.76,-8.980913
222,Arizona,1939.0,6,0.0007831313,34.76,-7.15221
223,Arizona,1939.0,7,0.001746829,34.76,-6.349953
224,Arizona,1940.0,1,500.0,,6.214608
225,Arizona,1940.0,2,0.0012258093,,-6.704154
226,Arizona,1940.0,3,6.008869e-06,,-12.022274
227,Arizona,1940.0,4,0.0017065188,,-6.3732996
228,Arizona,1940.0,5,0.00010815964,,-9.131903
229,Arizona,1940.0,6,0.0008432446,,-7.0782533
230,Arizona,1940.0,7,0.0018527346,,-6.2910924
231,Arizona,1941.0,1,280.0,,5.6347895
232,Arizona,1941.0,2,0.0008621109,,-7.0561266
233,Arizona,1941.0,3,0.0,,
234,Arizona,1941.0,4,0.0012721858,,-6.667019
235,Arizona,1941.0,5,0.0001220688,,-9.010925
236,Arizona,1941.0,6,0.00070571026,,-7.2563057
237,Arizona,1941.0,7,0.0017986074,,-6.3207426
238,Arizona,1942.0,1,390.0,,5.966147
239,Arizona,1942.0,2,0.00092112715,,-6.9899125
240,Arizona,1942.0,3,3.6408187e-06,,-12.523302
241,Arizona,1942.0,4,0.0012251355,,-6.704704
242,Arizona,1942.0,5,0.00012378783,,-8.996942
243,Arizona,1942.0,6,0.00075182907,,-7.1930017
244,Arizona,1942.0,7,0.0017257481,,-6.362095
245,Arizona,1943.0,1,270.0,,5.598422
246,Arizona,1943.0,2,0.0008949099,,-7.0187874
247,Arizona,1943.0,3,1.7410698e-06,,-13.261011
248,Arizona,1943.0,4,0.0012013381,,-6.7243195
249,Arizona,1943.0,5,0.00010446419,,-9.166666
250,Arizona,1943.0,6,0.0007277672,,-7.225529
251,Arizona,1943.0,7,0.0018263822,,-6.305418
252,Arkansas,1927.0,1,900.0,19.4,6.802395
253,Arkansas,1927.0,2,0.000840005,19.4,-7.082103
254,Arkansas,1927.0,3,9.321205e-06,19.4,-11.583219
255,Arkansas,1927.0,4,0.0008098482,19.4,-7.118664
256,Arkansas,1927.0,5,7.456964e-05,19.4,-9.5037775
257,Arkansas,1927.0,6,0.0004380966,19.4,-7.7330713
258,Arkansas,1927.0,7,0.0009529561,19.4,-6.9559417
259,Arkansas,1928.0,1,880.0,19.800001,6.779922
260,Arkansas,1928.0,2,0.0014841662,19.800001,-6.5129023
261,Arkansas,1928.0,3,7.0882297e-06,19.800001,-11.857075
262,Arkansas,1928.0,4,0.0008331396,19.800001,-7.090309
263,Arkansas,1928.0,5,9.9235214e-05,19.800001,-9.218018
264,Arkansas,1928.0,6,0.00043728924,19.800001,-7.7349157
265,Arkansas,1928.0,7,0.0010506937,19.800001,-6.8583045
266,Arkansas,1929.0,1,910.00006,20.2,6.8134446
267,Arkansas,1929.0,2,0.0021081693,20.2,-6.1619353
268,Arkansas,1929.0,3,1.3555615e-05,20.2,-11.20871
269,Arkansas,1929.0,4,0.00080357684,20.2,-7.1264377
270,Arkansas,1929.0,5,7.04892e-05,20.2,-9.560051
271,Arkansas,1929.0,6,0.00042889966,20.2,-7.7542877
272,Arkansas,1929.0,7,0.0014770199,20.2,-6.517729
273,Arkansas,1930.0,1,939.99994,20.6,6.84588
274,Arkansas,1930.0,2,0.0010838606,20.6,-6.827226
275,Arkansas,1930.0,3,1.0784683e-05,20.6,-11.437384
276,Arkansas,1930.0,4,0.00074468233,20.6,-7.202553
277,Arkansas,1930.0,5,7.441431e-05,20.6,-9.505862
278,Arkansas,1930.0,6,0.00044972126,20.6,-7.7068825
279,Arkansas,1930.0,7,0.0011695989,20.6,-6.7510943
280,Arkansas,1931.0,1,710.0,20.76,6.565265
281,Arkansas,1931.0,2,0.0011416477,20.76,-6.775283
282,Arkansas,1931.0,3,1.7704124e-05,20.76,-10.941713
283,Arkansas,1931.0,4,0.0007323069,20.76,-7.2193108
284,Arkansas,1931.0,5,9.173955e-05,20.76,-9.296557
285,Arkansas,1931.0,6,0.00045011393,20.76,-7.70601
286,Arkansas,1931.0,7,0.0011105314,20.76,-6.8029165
287,Arkansas,1932.0,1,660.0,20.92,6.49224
288,Arkansas,1932.0,2,0.001186039,20.92,-6.7371364
289,Arkansas,1932.0,3,1.1742959e-05,20.92,-11.352257
290,Arkansas,1932.0,4,0.00063038344,20.92,-7.369182
291,Arkansas,1932.0,5,9.607876e-05,20.92,-9.250342
292,Arkansas,1932.0,6,0.00044249606,20.92,-7.723079
293,Arkansas,1932.0,7,0.0009928138,20.92,-6.9149675
294,Arkansas,1933.0,1,780.0,21.08,6.659294
295,Arkansas,1933.0,2,0.000995776,21.08,-6.9119883
296,Arkansas,1933.0,3,5.3108056e-06,21.08,-12.145767
297,Arkansas,1933.0,4,0.0005682562,21.08,-7.472938
298,Arkansas,1933.0,5,8.391073e-05,21.08,-9.385757
299,Arkansas,1933.0,6,0.00041052527,21.08,-7.7980733
300,Arkansas,1933.0,7,0.0010000247,21.08,-6.9077306
301,Arkansas,1934.0,1,640.0,21.24,6.461468
302,Arkansas,1934.0,2,0.0010219589,21.24,-6.886034
303,Arkansas,1934.0,3,5.2841724e-06,21.24,-12.150795
304,Arkansas,1934.0,4,0.00055959384,21.24,-7.4882994
305,Arkansas,1934.0,5,8.190467e-05,21.24,-9.409955
306,Arkansas,1934.0,6,0.00048508702,21.24,-7.631182
307,Arkansas,1934.0,7,0.0010737438,21.24,-6.8366036
308,Arkansas,1935.0,1,620.0,21.400002,6.4297194
309,Arkansas,1935.0,2,0.0011404178,21.400002,-6.7763605
310,Arkansas,1935.0,3,7.3609262e-06,21.400002,-11.8193245
