,mes ,ano,vale_adr,iron_ore,DJA,IBOV,1lag_iron_ore,1lag_dja,ln_vale_adr
95,12,2016,7.009296,80.02,6902.450195,60227,4.291828366755733,8.81284198024233,1.9472372680432164
96,1,2017,9.364125,80.41,6969.870117,64671,4.382276603429089,8.839631728276649,2.2368858985357227
97,2,2017,9.520501,89.44,7260.589844,66662,4.387138546560058,8.849351869004186,2.253447473468992
98,3,2017,8.738624,87.65,7155.819824,64984,4.493568009406789,8.890216350248613,2.167752740201989
99,4,2017,8.157325,70.22,7217.27002,65403,4.473351611367243,8.875681265999726,2.0989162966042927
100,5,2017,7.957669,62.43,7282.220215,62711,4.251633170740286,8.884232046810503,2.074136117774542
101,6,2017,8.31895,57.48,7402.299805,62900,4.134045929073653,8.893191069283347,2.1185360449459076
102,7,2017,9.535892,67.74,7457.009766,65920,4.051437061210824,8.909546015368234,2.2550627847555043
103,8,2017,10.524659,76.07,7525.810059,70835,4.215676847389625,8.916909777184884,2.353720979993703
104,9,2017,9.573922,71.53,7711.120117,74294,4.33165396900921,8.92609373285988,2.259042943872162
105,10,2017,9.307716,61.66,7914.680176,74308,4.270116942120293,8.950418737068658,2.23084373358651
106,11,2017,10.172887,64.24,8229.30957,71971,4.121635422458004,8.976474564170855,2.319726043915455
107,12,2017,11.751009,72.25,8310.349609,76402,4.162626069638506,9.015457398292945,2.4639391092437752
108,1,2018,12.577328,76.34,8624.769531,84913,4.2801323269925415,9.025256957842998,2.5318958280761548
109,2,2018,13.192261,77.46,8228.280273,85481,4.3351970473170836,9.062393520499068,2.579630369779594
110,3,2018,12.35942,70.35,8092.529785,85366,4.349761674086606,9.015332313513076,2.5144185253621627
111,4,2018,13.44767,65.75,8134.209961,86115,4.253482783560398,8.998696666362054,2.598805856840327
112,5,2018,13.214474,66.1,8234.530273,76754,4.185859671057874,9.003833898895275,2.5813127440102037
113,6,2018,12.456584,65.04,8146.049805,72763,4.191168746857641,9.016091600669155,2.5222493184679524
114,7,2018,14.244425,64.56,8547.969727,79220,4.175002465239555,9.00528840223337,2.6563656020948163
115,8,2018,13.2,67.15,8707.549805,76678,4.1675950239616935,9.053449074902584,2.580216829592325
116,9,2018,14.84,68.44,8810.240234,79342,4.206928922969246,9.071945722005596,2.6973262377392344
117,10,2018,15.1,73.41,8314.030273,87424,4.225957449023992,9.083669986889893,2.714694743820879
118,11,2018,13.7,73.26,8545.830078,89504,4.29606016612269,9.025699761013556,2.617395832834079
119,12,2018,13.19,69.15,7710.439941,87887,4.294014757350668,9.053198732786077,2.579458966729223
120,1,2019,12.44,76.16,8252.360352,97394,4.236278058110767,8.950330526018947,2.5209170873110334
121,2,2019,12.48,88.22,8567.610352,95584,4.33283639048311,9.018254541681717,2.5241273629412815
122,3,2019,13.06,86.47,8598.459961,95415,4.479833694676794,9.055744133969286,2.569554123848285
123,4,2019,12.78,93.7,8839.519531,96353,4.459797532972339,9.059338391903557,2.5478814489493886
124,5,2019,12.47,100.15,8253.530273,97030,4.540098189244376,9.086987802457749,2.523325759691945
125,6,2019,13.44,108.94,8796.830078,100967,4.606669062111827,9.018396299679337,2.5982353350950036
126,7,2019,12.99,120.24,8895.209961,101812,4.690797271955528,9.08214671716297,2.5641798306825083
127,8,2019,11.0,93.07,8751.879883,101135,4.789489745444719,9.093268204205842,2.3978952727983707
128,9,2019,11.5,93.08,8961.150391,104745,4.533351898197619,9.07702380004747,2.4423470353692043
129,10,2019,11.74,88.53,8994.230469,107220,4.533459338434091,9.100653889580126,2.4630018143999504
130,11,2019,11.76,84.98,9233.75,108233,4.483341477622957,9.104338591752178,2.464703942470481
131,12,2019,13.2,92.65,9386.480469,115645,4.442415934686665,9.130620528842947,2.580216829592325
132,1,2020,11.73,95.76,9370.290039,113761,4.528828952731369,9.147025685007977,2.462149662665384
133,2,2020,9.82,87.68,8394.629883,104172,4.561845061249718,9.145299328755536,2.2844211223663744
134,3,2020,8.29,88.99,7221.209961,73020,4.473693823199706,9.035347480749394,2.1150499691472033
135,4,2020,8.25,84.73,7862.52002,80506,4.488524003868771,8.884777802472176,2.1102132003465894
136,5,2020,9.76,93.65,8239.599609,87403,4.439469730210373,8.969862447269366,2.278292400425001
137,6,2020,10.31,103.3,8292.070313,95056,4.539564428890097,9.016707030582152,2.333114298028869
138,7,2020,11.64,108.52,8701.839844,102912,4.637637376125593,9.023054953138628,2.454447442303292
139,8,2020,11.0,121.07,9286.55957,99369,4.686934487790731,9.071289758606548,2.3978952727983707
140,9,2020,10.58,123.75,9190.950195,94603,4.7963688907196484,9.13632342629481,2.3589654264301534
141,10,2020,10.57,119.78,8994.360352,93952,4.8182634014487995,9.125974604455385,2.3580197998821464
142,11,2020,14.56,124.36,9901.740234,108888,4.785656726836316,9.104353032349698,2.67827804276854
